,Aspen,longitude,lattitude
6354,1,-106.8388764,36.98295576
11465,1,-105.2108778,41.27696409
15771,1,-107.0446757,40.33383919
11813,1,-107.4975904,38.90030756
12941,1,-107.2365387,38.7582667
5437,1,-107.4601622,40.31329511
13749,1,-106.247337,39.79558489
17717,1,-107.7723042,38.05813593
16683,1,-106.3467869,38.99444562
2599,1,-107.2454769,40.67213473
15011,1,-106.2213725,39.51570081
15584,1,-106.2176466,36.59208812
16134,1,-106.4378231,36.05196307
9827,1,-107.4851265,40.2470577
16455,1,-107.160255,39.47617079
186,1,-105.3492016,42.41473753
18226,1,-107.3785807,38.16972454
15450,1,-106.7402396,40.00324872
10137,1,-105.1947538,41.32102736
9730,1,-108.4450143,37.65996099
257,1,-105.913811,39.45182711
21458,1,-107.3222538,37.8256838
1778,1,-107.0484507,36.90838832
19691,1,-106.9862236,40.08784322
6979,1,-107.0417774,40.44644703
3634,1,-105.1698755,38.18537174
911,1,-106.8421797,37.77643604
13383,1,-107.2036549,37.3378456
14555,1,-107.3648004,41.38725396
4454,1,-105.7228107,39.38284636
14076,1,-108.4596473,37.77803036
20896,1,-106.8394795,41.01028298
14294,1,-107.8020327,37.39992644
15157,1,-107.9755434,37.46079768
16276,1,-108.4209991,38.4019931
3674,1,-108.4038153,38.3771408
16838,1,-106.7638868,40.32087503
5848,1,-107.5671288,39.00841313
2304,1,-106.1484965,39.57150617
11471,1,-106.7908592,40.01901726
10475,1,-107.2355265,39.92644777
1040,1,-107.0795836,40.76073853
2404,1,-105.4721602,36.63544943
8081,1,-106.63742,36.04540061
7942,1,-107.0582146,39.25913644
19699,1,-106.9280414,37.34818978
21115,1,-106.6320173,40.04136932
4213,1,-107.2546368,39.85678395
16804,1,-107.1246289,37.20531134
1448,1,-107.4094555,39.63205699
5953,1,-105.7698781,40.85324542
11060,1,-106.3746091,37.42078055
19201,1,-106.2941207,37.39731575
6209,1,-106.1738637,41.54239593
19796,1,-107.0823162,40.55948402
20093,1,-104.3882956,36.95331937
20666,1,-107.2304007,39.23004064
865,1,-105.1387599,36.42239948
18054,1,-107.5632397,39.87422756
18561,1,-105.0973052,39.43430569
19423,1,-107.1610465,39.15688022
9941,1,-105.2380645,37.23962519
15828,1,-106.9020016,37.11784029
